Feature Set,Accuracy,Features
Basic Indicators,0.5125376128385155,"['rsi', 'macd', 'momentum', 'cci']"
Volatility Indicators,0.5025075225677031,"['atr', 'bbw', 'rolling_std_5']"
Trend Indicators,0.5165496489468405,"['adx', 'rolling_mean_5', 'macd']"
Momentum Indicators,0.5005015045135406,"['rsi', 'momentum', 'stoch_k', 'stoch_d', 'roc']"
Return Indicators,0.48946840521564694,"['return_1d', 'return_3d']"
All Indicators,0.4934804413239719,"['rsi', 'macd', 'momentum', 'cci', 'atr', 'adx', 'stoch_k', 'stoch_d', 'roc', 'bbw', 'return_1d', 'return_3d', 'rolling_mean_5', 'rolling_std_5', 'momentum_slope', 'dxy', '^vix', '^gspc', 'gc=f', 'cl=f', 'gold_oil_ratio', 'day_of_week', 'month', 'target']"
Top 5 Common,0.5155466399197592,"['rsi', 'macd', 'adx', 'atr', 'cci']"
